2004, 'SOUTHERN OREGON COASTAL'
2004, 'ID', 'Location', 'OCT', 'NOV', 'DEC', 'JAN', 'FEB', 'MAR', 'APR', 'MAY', 'JUN', 'JUL', 'AUG', 'SEP', 'WY Tota', 'Pct Avg to Date'
2004, 'ROMC1', 'ROUND MOUNTAIN', '   0.00', '   7.27', '  19.07', '   6.00', '  13.75', '   3.26', '   3.20', '   2.79', '   0.08', '   0.00', '   0.00', '   0.45', ' 55.87', '  86'
2004, 'SAC', 'SACRAMENTO AP', '   0.04', '   1.53', '   4.23', '   2.15', '   5.01', '   0.48', '   0.09', '   0.17', '   0.00', '   0.00', '   0.00', '   0.17', ' 13.87', '  77'
2004, 'SERC1', 'SIERRAVILLE', '   0.03', '   1.45', '   6.76', '   1.63', '   6.45', '   1.13', '   0.08', '   0.59', '   0.70', '   0.00', '   0.01', '   0.31', ' 19.14', '  73'
2004, 'SHDC1', 'SHASTA DAM', '   0.27', '  10.75', '  21.28', '   7.66', '  19.40', '   4.24', '   2.91', '   0.87', '   0.70', '   0.00', '   0.00', '   0.09', ' 68.17', ' 108'
2004, 'SLPC1', 'SLY PARK', '   0.02', '   2.60', '  12.93', '   4.50', '   6.99', '   2.00', '   0.64', '   0.24', '   0.08', '   0.00', '   0.00', '   0.50', ' 30.50', 'NA'
2004, 'SMTC1', 'SACRAMENTO 5 ESE', '   0.27', '   1.64', '   4.35', '   2.07', '   4.84', '   0.49', '   0.11', '   0.08', '   0.00', '   0.00', '   0.00', '   1.93', ' 15.78', '  79'
2004, 'SODC1', 'SODA SPRINGS', '   1.02', '   3.46', '  20.08', '   7.13', '  11.61', '   1.46', '   2.20', '   1.77', '   0.28', '   0.08', '   0.00', '   0.43', ' 49.52', 'NA'
2004, 'STOC1', 'STONY GORGE', '   0.17', '   3.01', '   9.00', '   2.68', '   6.69', '   1.38', '   0.27', '   0.08', '   0.00', '   0.00', '   0.00', '   0.04', ' 23.32', ' 109'
2004, 'STYC1', 'STRAWBERRY VALLEY', '   0.45', '   7.02', '  27.57', '   9.74', '  20.34', '   3.27', '   2.77', '   1.12', '   0.03', '   0.01', '   0.00', '   0.57', ' 72.89', '  90'
2004, 'TWLC1', 'CAPLES LAKE', '   0.00', '   3.11', '  12.29', '   5.00', '   7.89', '   1.58', '   0.03', '   2.05', 'M', 'M', 'M', 'M', 'M'
2004, 'VOLC1', 'VOLTA PH', '   0.00', '   4.14', '  10.31', '   3.53', '   9.37', '   1.68', '   1.43', '   2.56', '   0.02', '   0.00', '   0.00', '   0.45', ' 33.49', '  95'
2004, 'VTNC1', 'VINTON', '   0.00', '   0.68', '   3.21', '   0.91', '   2.47', '   0.40', '   0.00', '   1.03', '   0.58', '   0.00', '   0.09', '   0.18', '  9.55', '  67'
2004, 'WDDC1', 'WOODLAND', '   0.00', '   0.77', '   5.52', '   2.53', '   6.38', '   0.77', '   0.14', '   0.13', '   0.00', '   0.00', '   0.00', '   0.01', ' 16.25', '  78'
2004, 'WSKC1', 'WHISKEYTOWN RES', '   0.00', '   8.56', '  12.48', '   3.62', '  23.06', '   3.92', '   4.43', '   0.46', '   1.00', '   0.00', '   0.02', '   0.11', ' 57.66', '  91'
2004, 'SAN JOAQUIN'
2004, 'ID', 'Location', 'OCT', 'NOV', 'DEC', 'JAN', 'FEB', 'MAR', 'APR', 'MAY', 'JUN', 'JUL', 'AUG', 'SEP', 'WY Tota', 'Pct Avg to Date'
2004, 'ABYC1', 'AUBERRY', '   0.01', '   1.27', '   5.38', '   2.21', '   5.81', '   0.96', '   0.19', '   0.24', '   0.00', '   0.00', '   0.00', '   0.32', ' 16.39', '  63'
2004, 'ARNC1', 'CALAVERAS BIG TREES', '   0.04', '   4.46', '  17.25', '   3.97', '  10.57', '   1.95', '   0.58', '   0.59', '   0.00', '   0.00', '   0.00', 'M', 'M'
2004, 'BCRC1', 'BIG CREEK PH #1', '   0.14', '   2.36', '   6.16', '   1.62', '   6.06', '   1.00', '   0.78', '   0.65', '   0.01', '   0.00', '   0.00', '   0.21', ' 18.99', 'NA'
2004, 'CHVC1', 'CHERRY VALLEY', '   0.00', '   4.67', '  13.90', '   4.47', '   9.68', '   1.72', '   0.52', '   0.82', '   0.00', '   0.00', '   0.00', '   0.12', ' 35.90', '  75'
2004, 'CMPC1', 'CAMP PARDEE', '   0.00', '   1.82', '   6.26', '   2.08', '   5.73', '   0.93', '   0.18', '   0.22', '   0.00', '   0.00', '   0.00', '   0.52', ' 17.74', '  77'
2004, 'COAC1', 'COARSEGOLD 1 SW', '   0.06', '   1.03', '   7.02', '   2.53', '   5.63', '   1.12', '   0.25', '   0.31', '   0.00', 'M', '   0.00', '   0.15', 'M'
2004, 'EXQC1', 'EXCHEQUER DAM', '   0.00', '   1.78', '   4.82', '   1.38', '   4.10', '   1.10', '   0.00', '   0.33', '   0.00', '   0.00', '   0.00', '   0.02', ' 13.53', '  68'
2004, 'FDDC1', 'FIDDLETOWN DEXTER RANCH', '   0.00', '   2.94', '  10.24', '   3.70', '   7.45', '   1.53', '   0.41', '   0.13', '   0.00', '   0.00', '   0.00', '   0.37', ' 26.77', '  72'
2004, 'FLOC1', 'FLORENCE LAKE', '   0.11', '   1.21', '   5.11', '   2.46', '   6.97', '   0.83', '   0.37', '   0.66', '   0.89', 'M', 'M', '   0.10', 'M'
2004, 'FRAC1', 'FRIANT GOVERNMENT CAMP', '   0.12', '   1.12', '   1.96', '   1.49', '   2.74', '   1.31', '   0.04', '   0.80', '   0.00', '   0.00', '   0.00', '   0.02', '  9.60', '  65'
2004, 'GRVC1', 'GROVELAND RS', '   0.00', '   4.24', '  10.87', '   3.56', '   8.19', '   1.79', '   0.10', '   0.75', '   0.00', '   0.00', '   0.00', '   0.19', ' 29.69', '  79'
2004, 'HETC1', 'HETCH HETCHY', '   0.01', '   3.37', '   9.66', '   2.54', '   8.86', '   1.84', '   0.59', '   0.18', '   0.06', '   0.00', '   0.00', '   0.13', ' 27.24', '  75'
2004, 'HNTC1', 'HUNTINGTON LAKE', '   0.14', '   0.96', '  12.78', '   3.86', '   8.69', '   1.53', '   1.53', '   0.76', '   0.00', 'M', 'M', '   0.21', 'M'
2004, 'LOSC1', 'LOS BANOS', '   0.04', '   0.92', '   2.49', '   1.23', '   2.72', '   0.39', '   0.05', '   0.00', '   0.00', '   0.00', '   0.00', '   0.07', '  7.91', '  79'
2004, 'MATC1', 'MATHER', '   0.17', '   3.23', '   9.09', '   2.75', '   8.09', '   1.58', '   0.30', '   0.54', '   0.23', '   0.00', '   0.00', '   0.24', ' 26.22', '  75'
2004, 'MCEC1', 'MERCED', '   0.00', '   0.80', '   3.24', '   1.00', '   3.66', '   0.72', '   0.00', '   0.22', '   0.00', '   0.00', '   0.00', '   0.13', '  9.77', '  78'
2004, 'MDRC1', 'MADERA', '   0.00', '   0.28', '   2.88', '   0.95', '   2.20', '   0.56', '   0.00', '   0.00', '   0.00', 'M', '   0.00', '   0.00', 'M'
2004, 'MOD', 'MODESTO AP', '   0.04', '   0.72', '   3.32', '   1.02', '   2.93', '   0.33', '   0.03', '   0.16', '   0.00', '   0.00', '   0.00', '   0.20', '  8.75', '  67'
2004, 'MRIC1', 'MARIPOSA RS', '   0.00', '   1.36', '   6.95', '   2.22', '   7.43', '   2.23', '   0.12', '   0.32', '   0.00', '   0.00', '   0.00', 'M', 'M'
2004, 'NMDC1', 'NEW MELONES DAM HQ', '   0.00', '   2.21', '   8.02', '   2.81', '   5.61', '   1.03', '   0.08', '   0.23', '   0.01', '   0.00', '   0.00', '   0.19', ' 20.19', 'NA'
2004, 'NOFC1', 'NORTH FORK RS', '   0.02', '   1.99', '   7.24', '   3.28', '   8.09', '   1.35', '   0.90', '   0.36', '   0.00', '   0.00', '   0.00', '   0.04', ' 23.27', '  68'
2004, 'PANC1', 'PANOCHE 2W', '   0.06', '   0.25', '   2.54', '   1.47', '   3.94', '   0.17', '   0.00', '   0.00', '   0.00', '   0.00', '   0.00', '   0.04', '  8.47', '  80'
2004, 'SCKC1', 'STOCKTON FIRE STA 4', '   0.00', '   2.23', '   5.32', '   3.20', '   4.47', '   0.44', '   0.53', '   0.23', '   0.00', '   0.00', '   0.00', '   0.20', ' 16.62', ' 100'
2004, 'SLDC1', 'LOS BANOS', '   0.08', '   0.64', '   3.36', '   0.89', '   2.42', '   0.31', '   0.11', '   0.11', '   0.00', '   0.00', '   0.00', '   0.07', '  7.99', '  76'
2004, 'SONC1', 'SONORA', '   0.00', '   2.26', '   9.09', '   2.64', '   6.10', '   1.25', '   0.09', '   0.35', '   0.00', '   0.00', '   0.00', '   0.31', ' 22.09', '  67'
2004, 'SPGC1', 'SALT SPRINGS PH', '   0.47', '   3.36', '  14.63', '   4.01', '   9.78', '   1.68', '   0.76', '   0.83', '   0.06', '   0.01', '   0.00', '   0.20', ' 35.79', '  77'
2004, 'TIGC1', 'TIGER CREEK PH', '   0.31', '   3.27', '  13.05', '   4.51', '   9.03', '   1.75', '   0.39', '   0.42', '   0.05', '   0.45', '   0.06', '   0.41', ' 33.70', '  73'
2004, 'TRAC1', 'TRACY CARBONA', '   0.00', '   1.57', '   1.95', '   0.84', '   2.65', '   1.51', '   0.17', '   0.10', '   0.00', '   0.00', '   0.00', '   0.33', '  9.12', '  86'
2004, 'WSTC1', 'WEST POINT', '   0.00', '   2.96', '  14.24', '   5.74', '   7.30', '   0.87', '   0.32', '   0.48', '   0.00', '   0.00', '   0.00', '   0.38', ' 32.29', '  88'
2004, 'YNPC1', 'SOUTH ENTRANCE YOSEMITE', '   0.03', '   3.54', '  11.75', '   3.49', '   9.31', '   1.55', '   0.69', '   0.29', '   0.87', '   0.00', '   0.00', '   0.14', ' 31.66', '  75'
2004, 'YPQC1', 'YOSEMITE PARK HEADQUARTER', '   0.05', '   3.00', '  10.14', '   2.99', '   8.46', '   1.43', '   0.54', '   1.05', '   0.07', '   0.07', '   0.00', '   0.25', ' 28.05', '  74'
2004, 'KERN...TULE...KAWEAH...KINGS'
2004, 'ID', 'Location', 'OCT', 'NOV', 'DEC', 'JAN', 'FEB', 'MAR', 'APR', 'MAY', 'JUN', 'JUL', 'AUG', 'SEP', 'WY Tota', 'Pct Avg to Date'
2004, 'ASHC1', 'ASH MOUNTAIN', '   0.00', '   1.90', '   7.05', '   2.41', '   5.63', '   1.09', '   0.26', '   0.00', '   0.00', '   0.00', '   0.00', 'M', 'M'
2004, 'ATWC1', 'ATWELL CAMP', '   0.10', '   2.70', '  10.90', '   3.70', '   6.11', '   1.20', '   0.30', '   0.00', '   0.10', '   0.10', '   0.00', '   0.00', ' 25.21', 'NA'
2004, 'BFL', 'BAKERSFIELD', '   0.20', '   0.32', '   1.30', '   0.56', '   1.63', '   0.53', '   0.02', '   0.00', '   0.00', '   0.00', '   0.00', '   0.00', '  4.56', '  70'
2004, 'BTPC1', 'BEAR TRAP MEADOW', '   0.30', '   3.80', '  12.30', '   3.81', '   6.90', '   0.90', '   0.61', '   0.00', '   0.01', '   0.00', '   0.00', '   0.40', ' 29.03', 'NA'
2004, 'DNPC1', 'BALCH PH', '   0.00', '   2.36', '   7.40', '   2.71', '   5.68', '   1.52', '   0.20', '   0.23', '   0.00', '   0.00', '   0.00', '   0.13', ' 20.23', '  65'
2004, 'EGCC1', 'EAGLE CREEK', '   0.00', '   2.70', '   9.70', '   3.41', '   8.51', '   1.25', '   0.50', '   0.00', '   0.00', '   0.10', '   0.00', '   0.00', ' 26.17', 'NA'
2004, 'GNFC1', 'GIANT FOREST', '   0.00', '   3.10', '  12.80', '   4.00', '   8.40', '   1.30', '   0.30', '   0.00', '   0.00', '   0.00', '   0.00', 'M', 'M'
2004, 'GNNC1', 'GLENNVILLE', '   0.00', '   1.48', '   4.75', '   2.07', '   4.86', '   0.82', '   0.19', '   0.00', '   0.00', '   0.00', '   0.00', '   0.00', ' 14.17', '  71'
2004, 'GRGC1', 'GRANT GROVE', '   0.00', '   3.64', '  10.20', '   3.20', '   8.81', '   1.60', '   0.76', '   0.18', '   0.00', '   0.00', '   0.00', '   0.17', ' 28.56', '  68'
2004, 'HCKC1', 'HOCKETT MEADOW', '   0.00', '   1.50', '  10.40', '   3.90', '   7.00', '   1.10', '   0.90', '   0.20', '   0.00', '   0.20', '   0.00', '   0.00', ' 25.20', 'NA'
2004, 'HSSC1', 'HOSSACK', '   0.30', '   3.00', '  11.20', '   4.21', '   6.70', '   3.40', '   0.90', '   0.30', '   0.00', '   0.00', '   0.00', '   0.00', ' 30.01', 'NA'
2004, 'ISAC1', 'LAKE ISABELLA DAM', '   0.18', '   0.71', '   2.04', '   1.09', '   3.15', '   0.46', '   0.05', '   0.00', '   0.00', '   0.00', '   0.00', '   0.00', '  7.68', 'NA'
2004, 'KVLC1', 'KERN RIVER PH #3', '   0.00', '   1.30', '   1.09', '   1.17', '   3.28', '   0.39', '   0.00', '   0.00', '   0.00', '   0.00', '   0.00', '   0.00', '  7.23', '  54'
2004, 'LDGC1', 'LODGEPOLE', '   0.00', '   3.06', '  13.16', '   5.67', '   9.32', '   1.29', '   1.04', '   0.15', '   0.00', '   0.46', '   0.00', '   0.17', ' 34.32', '  77'
2004, 'MNHC1', 'MOUNTAIN HOME', '   0.70', '   3.00', '  10.90', '   1.51', '   7.51', '   2.00', '   0.60', '   0.00', '   0.00', '   0.00', '   0.00', '   0.00', ' 26.22', 'NA'
2004, 'PFTC1', 'PINE FLAT DAM', '   0.02', '   0.71', '   4.22', '   0.55', '   4.05', '   1.32', '   0.16', '   0.18', '   0.00', '   0.00', '   0.00', '   0.00', ' 11.21', '  56'
2004, 'RGCC1', 'ROGERS CAMP', '   0.50', '   2.30', '   8.90', '   3.01', '   6.54', '   1.41', '   1.61', '   0.00', '   0.10', '   0.00', '   0.00', '   0.00', ' 24.37', 'NA'
2004, 'SCSC1', 'LAKE SUCCESS DAM', '   0.19', '   0.35', '   2.64', '   0.27', '   3.37', '   0.88', '   0.10', '   0.00', '   0.00', '   0.00', '   0.00', '   0.00', '  7.80', '  71'
2004, 'TMDC1', 'TERMINUS DAM', '   0.08', '   0.91', '   3.42', '   1.35', '   3.87', '   0.81', '   0.50', '   0.02', '   0.00', '   0.00', '   0.00', '   0.00', ' 10.96', 'NA'
2004, 'TREC1', 'THREE RIVER EDISON PH #1', '   0.00', '   1.20', '   4.93', '   1.70', '   3.84', '   0.96', '   0.17', '   0.01', '   0.00', '   0.00', '   0.00', '   0.00', ' 12.81', '  53'
2004, 'TULARE-BUENA VISTA LAKES'
2004, 'ID', 'Location', 'OCT', 'NOV', 'DEC', 'JAN', 'FEB', 'MAR', 'APR', 'MAY', 'JUN', 'JUL', 'AUG', 'SEP', 'WY Tota', 'Pct Avg to Date'
2004, 'CNGC1', 'COALINGA', '   0.06', '   0.22', '   1.66', '   0.51', '   2.33', '   0.35', '   0.01', '   0.00', '   0.00', '   0.00', '   0.00', 'M', 'M'
2004, 'FAT', 'FRESNO AIR TERMINAL', '   0.00', '   0.40', '   2.95', '   0.87', '   1.69', '   1.54', '   0.03', '   0.07', '   0.00', '   0.00', '   0.00', '   0.00', '  7.55', '  67'
2004, 'HJO', 'HANFORD', '   0.07', '   0.47', '   2.11', '   0.97', '   2.32', '   0.25', '   0.01', '   0.02', '   0.00', '   0.00', '   0.00', '   0.00', '  6.22', '  72'
2004, 'LEMC1', 'LEMON COVE', '   0.09', '   0.92', '   3.05', '   1.18', '   3.04', '   0.62', '   0.02', '   0.00', '   0.00', '   0.00', '   0.00', '   0.00', '  8.92', '  61'
2004, 'LINC1', 'LINDSAY', '   0.00', '   1.14', '   2.27', '   1.05', '   2.99', '   0.89', '   0.30', '   0.00', '   0.00', 'M', '   0.00', '   0.00', 'M'
2004, 'PRTC1', 'PORTERVILLE', '   0.00', '   0.77', '   2.13', '   1.06', '   2.51', '   0.75', '   0.14', '   0.00', '   0.00', '   0.00', '   0.00', '   0.00', '  7.36', '  64'
2004, 'VISC1', 'VISALIA', '   0.00', '   0.61', '   2.45', '   0.90', '   2.20', '   1.43', '   0.40', '   0.00', '   0.00', 'M', '   0.00', '   0.00', 'M'
2004, 'WASC1', 'WASCO', '   0.00', '   0.49', '   1.17', '   0.35', '   1.69', '   0.54', '   0.06', '   0.00', '   0.00', '   0.00', '   0.00', 'M', 'M'
2004, 'CENTRAL CALIFORNIA COASTAL'
2004, 'ID', 'Location', 'OCT', 'NOV', 'DEC', 'JAN', 'FEB', 'MAR', 'APR', 'MAY', 'JUN', 'JUL', 'AUG', 'SEP', 'WY Tota', 'Pct Avg to Date'
2004, 'BISC1', 'BIG SUR STATE PARK', '   0.21', '   2.44', '  18.07', '   3.57', '  11.38', '   1.26', '   0.05', '   0.00', '   0.00', '   0.00', '   0.00', '   0.09', ' 37.07', '  86'
2004, 'CCHC1', 'CACHUMA DAM', '   0.41', '   1.20', '   2.03', '   0.32', '   6.52', '   0.48', '   0.00', '   0.00', '   0.00', '   0.00', '   0.00', '   0.00', ' 10.96', '  50'
2004, 'HOLC1', 'HOLLISTER', '   0.22', '   0.77', '   6.33', '   1.56', '   4.28', '   0.92', '   0.08', '   0.08', '   0.00', '   0.00', '   0.00', '   0.85', ' 15.09', ' 111'
2004, 'JNLC1', 'JUNCAL DAM', '   0.00', '   2.43', '   2.70', '   1.11', '   9.49', '   0.52', '   0.00', '   0.00', '   0.00', '   0.00', '   0.00', '   0.00', ' 16.25', '  52'
2004, 'KICC1', 'KING CITY', '   0.26', '   0.17', '   3.73', '   0.69', '   4.12', '   0.26', '   0.00', '   0.00', '   0.00', '   0.00', '   0.00', '   0.00', '  9.23', '  75'
2004, 'LSLC1', 'LOS ALAMOS', '   0.00', '   1.31', '   1.94', '   0.69', '   4.73', '   0.49', '   0.00', '   0.00', '   0.00', 'M', 'M', 'M', 'M'
2004, 'PRBC1', 'PASO ROBLES', '   0.00', '   1.36', '   2.31', '   0.91', '   4.34', '   0.30', '   0.32', '   0.00', '   0.00', '   0.00', '   0.00', '   0.00', '  9.54', '  65'
2004, 'PRSC1', 'PRIEST VALLEY', '   0.12', '   0.79', '   4.76', '   1.34', '   6.18', '   0.48', '   0.00', '   0.00', '   0.00', '   0.00', '   0.00', '   0.00', ' 13.67', '  65'
2004, 'SAEC1', 'SAN CLEMENTE DAM', '   0.27', '   0.87', '   6.88', '   2.44', '   6.88', '   0.52', '   0.11', '   0.00', '   0.15', '   0.00', '   0.00', '   0.04', ' 18.16', '  83'
2004, 'SBAC1', 'SANTA BARBARA', '   0.96', '   0.87', '   2.35', '   0.48', '   4.95', '   0.59', '   0.00', '   0.00', '   0.02', '   0.00', '   0.01', '   0.00', ' 10.23', '  55'
2004, 'SBPC1', 'SAN LUIS OBISPO', '   0.03', '   2.71', '   3.25', '   1.13', '   8.29', '   0.61', '   0.00', '   0.00', '   0.00', '   0.00', '   0.00', '   0.00', ' 16.02', '  66'
2004, 'SCRC1', 'SANTA CRUZ', '   0.31', '   3.36', '   9.93', '   3.27', '   5.62', '   1.34', '   0.43', '   0.09', '   0.00', '   0.06', '   0.00', '   0.02', ' 24.43', '  80'
2004, 'SMX', 'SANTA MARIA', '   0.34', '   1.48', '   1.29', '   0.68', '   4.40', '   0.55', '   0.00', '   0.00', '   0.00', '   0.00', '   0.00', '   0.00', '  8.74', '  62'
2004, 'SNSC1', 'SALINAS NO. 2', '   0.29', '   0.89', '   4.65', '   1.45', '   3.86', '   0.55', '   0.02', '   0.03', '   0.00', '   0.03', '   0.00', '   0.03', ' 11.80', '  78'
2004, 'WVIC1', 'WATSONVILLE WATERWORKS', '   0.41', '   2.31', '   7.80', '   2.49', '   5.74', '   0.77', '   0.40', '   0.11', '   0.00', '   0.00', '   0.00', '   0.01', ' 20.04', '  86'
2004, 'SOUTHERN CALIFORNIA COASTAL'
2004, 'ID', 'Location', 'OCT', 'NOV', 'DEC', 'JAN', 'FEB', 'MAR', 'APR', 'MAY', 'JUN', 'JUL', 'AUG', 'SEP', 'WY Tota', 'Pct Avg to Date'
2004, 'BBLC1', 'BIG BEAR LAKE F.S.', '   0.00', '   1.54', '   3.77', '   0.30', '   3.29', '   1.18', '   0.35', '   0.00', '   0.05', '   0.00', '   1.58', '   0.11', ' 12.17', '  58'
2004, 'CQT', 'DOWNTOWN LA', '   0.53', '   0.80', '   1.35', '   0.47', '   4.89', '   1.17', '   0.04', '   0.00', '   0.00', '   0.00', '   0.00', '   0.00', '  9.25', '  61'
2004, 'CUYC1', 'CUYAMACA', '   0.00', '   2.03', '   4.72', '   2.34', '   6.55', '   1.10', '   2.05', '   0.00', '   0.00', '   0.06', '   0.25', '   0.00', ' 19.10', '  53'
2004, 'ELPC1', 'EL CAPITAN DAM', '   0.00', '   1.49', '   1.48', '   0.70', '   5.49', '   0.58', '   1.28', '   0.06', '   0.00', '   0.22', '   0.00', '   0.00', ' 11.30', '  67'
2004, 'EORC1', 'ELSINORE', '   0.00', '   0.97', '   0.43', '   0.30', '   2.23', '   0.00', '   0.00', '   0.00', '   0.00', '   0.00', '   0.00', '   0.00', '  3.93', '  33'
2004, 'HENC1', 'HENSHAW DAM', '   0.00', '   1.64', '   2.41', '   0.60', '   6.31', '   1.06', '   1.54', '   0.02', '   0.00', '   0.00', '   0.13', '   0.00', ' 13.71', '  49'
2004, 'LAGC1', 'LAGUNA BEACH', '   0.00', '   0.26', '   0.91', '   1.19', '   4.31', '   0.69', '   0.62', '   0.00', '   0.00', '   0.00', '   0.00', '   0.00', '  7.98', '  59'
2004, 'LAX', "LA INT'L AIRPORT", '   0.71', '   0.80', '   1.14', '   0.49', '   4.61', '   0.77', '   0.03', '   0.04', '   0.00', '   0.00', '   0.00', '   0.00', '  8.59', '  65'
2004, 'LGB', 'LONG BEACH', '   0.12', '   0.29', '   1.32', '   0.62', '   3.74', '   1.02', '   0.06', '   0.00', '   0.00', '   0.00', '   0.00', '   0.00', '  7.17', '  55'
2004, 'LOX', 'OXNARD', '   0.32', '   0.62', '   1.44', '   0.71', '   4.28', '   0.91', '   0.00', '   0.00', '   0.00', '   0.00', '   0.00', '   0.03', '  8.31', 'NA'
2004, 'MWS', 'MOUNT WILSON', '   0.56', '   0.72', '   4.35', '   0.52', '   6.54', '   0.85', '   0.85', '   0.00', '   0.00', '   0.00', '   0.00', '   0.00', ' 14.39', '  36'
2004, 'OCNC1', 'OCEANSIDE MARINA', '   0.14', '   0.63', '   0.66', '   0.40', '   3.27', '   0.27', '   0.45', '   0.00', '   0.00', '   0.00', '   0.00', '   0.00', '  5.82', '  52'
2004, 'SAN', 'LINDBERGH FIELD', '   0.00', '   0.60', '   0.61', '   0.34', '   2.81', '   0.22', '   0.60', '   0.00', '   0.00', '   0.00', '   0.00', '   0.00', '  5.18', '  48'
2004, 'SBOC1', 'SAN BERNARDINO FS', '   0.00', '   2.21', '   1.23', 'M', '   3.01', '   1.09', '   0.00', '   0.00', '   0.00', '   0.00', '   0.00', 'M', 'M'
2004, 'SGSC1', 'SAUGUS PH #1', '   0.00', '   1.40', '   2.92', '   0.52', '   6.15', '   0.58', '   0.12', 'M', 'M', 'M', 'M', 'M', 'M'
2004, 'SPLC1', 'SANTA PAULA', '   0.00', '   0.52', '   1.37', '   0.75', '   6.73', '   0.82', '   0.00', '   0.00', '   0.00', 'M', 'M', 'M', 'M'
2004, 'STAC1', 'SANTA ANA FS', '   0.02', '   0.66', '   0.75', '   0.39', '   4.23', '   0.52', '   0.56', '   0.00', '   0.00', '   0.00', '   0.00', '   0.00', '  7.13', '  52'
2004, 'NORTH AND CENTRAL LAHONTAN'
2004, 'ID', 'Location', 'OCT', 'NOV', 'DEC', 'JAN', 'FEB', 'MAR', 'APR', 'MAY', 'JUN', 'JUL', 'AUG', 'SEP', 'WY Tota', 'Pct Avg to Date'
2004, 'CEDC1', 'CEDARVILLE', '   0.02', '   1.07', '   2.62', '   0.65', '   1.02', '   0.59', '   0.85', '   2.27', '   0.55', '   0.76', '   0.61', '   0.21', ' 11.22', '  85'
2004, 'DOLC1', 'DOYLE 4SSE', '   0.00', '   0.37', '   4.07', '   0.73', '   2.45', '   0.66', '   0.00', 'M', '   0.58', '   0.02', '   0.34', '   0.02', 'M'
2004, 'DOYC1', 'DOYLE', '   0.10', '   0.24', '   2.97', '   0.70', '   2.02', '   0.54', '   0.01', '   0.43', '   0.76', '   0.75', '   0.42', '   0.03', '  8.97', '  76'
2004, 'FOBC1', 'FORT BIDWELL', '   0.04', '   2.11', '   3.84', '   1.56', '   2.39', '   0.87', '   1.56', '   1.40', '   0.54', '   0.00', '   0.76', '   0.10', ' 15.17', '  83'
2004, 'FRNN2', 'FERNLEY', '   0.00', '   0.33', '   0.59', '   0.08', '   0.71', '   1.02', '   0.08', '   0.36', '   0.54', '   0.11', '   0.37', '   0.08', '  4.27', '  80'
2004, 'JESC1', 'JESS VALLEY', '   0.09', '   3.21', '   3.90', '   1.74', '   2.07', '   0.74', '   0.85', '   3.54', '   0.81', '   0.11', '   0.94', '   0.53', ' 18.53', '  97'
2004, 'Q63', 'SUTCLIFFE-PYRAMID LK', '   0.34', '   0.26', '   1.20', '   0.28', '   0.84', '   0.73', '   0.07', '   0.15', '   0.78', '   0.00', '   0.25', '   0.00', '  4.90', '  64'
2004, 'SNVC1', 'SUSANVILLE', 'M', 'M', '   2.85', '   1.39', '   6.40', '   0.11', '   0.15', '   1.20', '   0.54', '   0.00', '   0.00', '   0.00', 'M'
2004, 'STDN2', 'STEAD', '   0.18', '   0.10', '   2.17', '   0.81', '   1.74', '   0.02', '   0.01', '   0.51', '   0.32', '   0.00', '   0.07', '   0.00', '  5.93', '  57'
2004, 'SVEC1', 'SUSANVILLE 1 WNW', 'M', 'M', '   2.85', '   1.39', '   5.30', '   0.11', '   0.15', '   1.20', '   0.54', '   0.00', '   0.00', 'M', 'M'
2004, 'WAWN2', 'WADSWORTH 4N', '   0.10', '   0.30', '   2.50', '   0.10', '   0.70', '   0.00', '   0.10', '   0.10', '   0.60', '   0.00', '   0.30', '   0.10', '  4.90', '  81'
2004, 'WTNN2', 'WELLINGTON', '   0.20', 'M', '   0.55', '   0.37', '   0.58', '   0.70', '   0.24', '   0.34', '   0.13', '   0.41', '   0.13', '   0.00', 'M'
2004, 'LAKE TAHOE...TRUCKEE...CARSON...WALKER'
2004, 'ID', 'Location', 'OCT', 'NOV', 'DEC', 'JAN', 'FEB', 'MAR', 'APR', 'MAY', 'JUN', 'JUL', 'AUG', 'SEP', 'WY Tota', 'Pct Avg to Date'
2004, 'BDEC1', 'BODIE', '   0.05', '   0.69', '   2.51', '   0.43', '   1.41', '   0.33', '   0.37', '   0.50', '   0.20', '   0.19', '   0.50', '   0.07', '  7.25', '  56'
2004, 'BOCC1', 'BOCA RESERVOIR', '   0.04', '   0.72', '   5.65', '   1.13', '   4.40', '   0.64', '   0.07', '   0.64', '   0.34', '   0.00', '   0.00', '   0.21', ' 13.84', '  62'
2004, 'BPTC1', 'BRIDGEPORT', '   0.00', '   1.14', '   3.10', '   0.70', '   2.14', '   0.12', '   0.32', '   0.26', '   0.31', '   0.00', '   0.56', '   0.00', '  8.65', '  92'
2004, 'CRCN2', 'CARSON CITY', '   0.10', '   0.50', '   1.88', '   0.54', '   1.11', '   0.50', '   0.00', '   0.11', '   0.25', '   0.00', '   0.15', '   0.00', '  5.14', '  49'
2004, 'DAGN2', 'DAGGET PASS', '   0.00', '   0.98', '   5.34', '   1.57', '   3.34', '   0.61', '   0.00', '   0.33', '   0.00', '   0.02', '   0.00', '   0.00', ' 12.19', ' 112'
2004, 'DONC1', 'DONNER MEM SP', '   0.01', '   1.66', '  12.33', '   3.64', '   7.59', '   1.11', '   0.41', '   1.50', 'M', '   0.00', '   0.00', '   0.17', 'M'
